Ruta	Descripción	Fecha Gaceta	Fecha Vigencia
I	DESAMPARADOS-MORAVIA	AUTOTRANSPORTES MORAVIA, S.A./AUTOTRANSPORTES DESAMPARADOS, S.A./AUTOTRANSPORTES SAN ANTONIO, S.A./CONSORCIO OPERATIVO DEL ESTE S. A.	(RA-400)
I	URUCA - GUADALUPE 	GUADALUPE, LIMITADA/COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)/BUSES INA URUCA S.A.	(RA-400)
I	URUCA-ESCAZU	BUSES INA URUCA S.A./AUTOTRANSPORTES PAVAS, S.A./COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-400)
I	SANTA ANA - SAN ANTONIO DE BELEN - LA VALENCIA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A. / TRANSPORTES UNIDOS LA CUATROCIENTOS, S.A. / AUTOBUSES BARRANTES ARAYA, S.A. / TRANSPORTES FERNANDO ZUÑIGA E HIJOS, S.A.	(RA-400)
I	ESCAZU - ALAJUELITA - HATILLO	COMPAÑÍA DE INVERSIONES LA TAPACHULA,S.A./CONSORCIO DE TRANSPORTES COOPERATIVOS METROCOOP, R.L./TRANSPORTES DOSCIENTOS CINCO, S.A	(RA-400)
I	GUADALUPE - MORAVIA - LA VALENCIA	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)/AUTOTRANSPORTES MORAVIA, S.A./EMPRESA GUADALUPE, LIMITADA	(RA-400)
01	SAN JOSE-Bº MEXICO	TRANSPORTES GUILIAL S.A.	(RA-107)
05-05 A	SAN JOSE-Bº LA CRUZ-SEMINARIO-C.C. DEL SUR	TRANSPORTES GUILIAL S.A.	(RA-107)
05-05 A	SAN JOSE-Bº LA CRUZ-SAN CAYETANO-Bº EL CARMEN	TRANSPORTES GUILIAL S.A.	(RA-107)
02-02 A	SAN JOSE-SABANA-CEMENTERIO	AUTOTRANSPORTES SABANA CEMENTERIO S.A.	(RA-100)
02-02 A	SAN JOSE-Bº LA PITAHAYA	AUTOTRANSPORTES SABANA CEMENTERIO S.A.	(RA-100)
3	SAN JOSE-Bº CRISTO REY-Bº CUBA	TRANSMASOMA S.A.	(RA-099)
16	SAN JOSE-Bº ESCALANTE-UNIVERSIDAD	TRANSPORTES GUILIAL S.A.	(RA-107)
06	SAN JOSE-Bº LUJAN	AUTOTRANSPORTES RARO S.A.	(RA-069)
59	SAN JOSE-CURRIDABAT-Bº LA LIA-EXT LOMAS DEL SOL	AUTOTRANSPORTES RARO S.A.	(RA-069)
61	SAN JOSE-TIRRASES POR CURRIDABAT	AUTOTRANSPORTES RARO S.A.	(RA-069)
07	SAN JOSE-CEMENTERIO-SABANA	TRANSCESA S.A.	(RA-070)
13	SAN JOSE-SABANA-ESTADIO	TRANSCESA S.A.	(RA-070)
08	SAN JOSE-RUTA PERIFERICA	DISCAR S.A.	(RA-061)
09	SAN JOSE-SAN ANTONIO DE ESCAZU	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SAN ANTONIO DE ESCAZU-Bº EL CARMEN	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SAN ANTONIO DE ESCAZU-EL CURIO	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU CENTRO	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-VISTA DE ORO	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-Bº CORAZON DE JESUS	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-Bº EL CARMEN-BEBEDERO	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-SANTA TERESA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-GUACHIPELIN x LOS ANONOS	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-GUACHIPELIN-PAVICEN x PISTA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-BELLO HORIZONTE	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-LOTES BADILLA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-ESCAZU-LOS ANONOS	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	CIRCUNVALACION ESCAZU	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-PIEDADES	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-PIEDADES	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-SALITRAL-QUEBRADOR	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-POZOS-I.M.A.S.-ESFUERZO	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	CIUDAD COLON-PIEDADES (PERIFERICA)	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-BRASIL POR CALLE VIEJA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-BRASIL POR PISTA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-SALITRAL	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-POZOS	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-POZOS-BARRIO CORAZON DE JESUS (IMAS)	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-TRINIDAD DE SANTA ANA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-SANTA ANA-BARRIO ESPAÑA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-MULTIPLAZA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SAN JOSE-FORUM	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-SALITRAL	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-SALITRAL-MATINILLA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-SALITRAL-CALLE LOS MONTOYA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-EL QUEBRADOR-CALLE MACHETE-B° SAN RAFAEL-SANTA ANA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-PIEDADES-B° LOS ANGELES-LA PROMESA-PISTA-SANTA ANA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-B° ESPAÑA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-LINDORA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-POZOS-B° CORAZON DE JESUS (IMAS)	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	SANTA ANA-PIEDADES-CIUDAD COLON, POR BRASIL Y TRINIDAD	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
09	CIRCUNVALACION SANTA ANA	COMPAÑÍA DE INVERSIONES LA TAPACHULA, S.A.	(RA-073)
10	SAN JOSE-HOSPITAL MEXICO x LA URUCA	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-LA URUCA-LA PEREGRINA	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-LA URUCA-Bº CORAZON DE JESUS	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-LA URUCA-LEON XIII	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-HOSPITAL MEXICO x LA PISTA	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-PARQUE DE DIVERSIONES	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-LA URUCA-URB. ROSSITER CARBALLO	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-LA CARPIO-CANAL 13 x URUCA	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-LA CARPIO-CANAL 13 x PISTA	BUSES INA URUCA S.A.	(RA-080)
10	SAN JOSE-I.N.A.	BUSES INA URUCA S.A.	(RA-080)
14	SAN JOSE-PAVAS-ZONA 1	AUTOTRANSPORTES PAVAS, S.A.	(RA-023)
14	SAN JOSE-PAVAS-ZONA 2	AUTOTRANSPORTES PAVAS, S.A.	(RA-023)
14	SAN JOSE-PAVAS-BOULEVARD-HOSPITAL PSIQUIATRICO	AUTOTRANSPORTES PAVAS, S.A.	(RA-023)
14	SAN JOSE-PAVAS-BOULEVARD-AEROPUERTO	AUTOTRANSPORTES PAVAS, S.A.	(RA-023)
14	SAN JOSE-PAVAS-LOMAS DEL RIO	AUTOTRANSPORTES PAVAS, S.A.	(RA-023)
14 BS	SAN JOSE-PAVAS-LOMAS DEL RIO	AUTOTRANSPORTES PAVAS, S.A.	(RA-023)
20	SAN JOSE-FLORIDA POR TIBAS	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-FLORIDA POR CRUCE	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-BARRIO VIRGINIA	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-JARDINES DE TIBAS	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-CUATRO REINAS POR CRUCE	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-CUATRO REINAS POR TIBAS	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-EL INVU DE TIBAS	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-BAJO PIUSES	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN LUIS-SANTO DOMINGO-SANTO TOMAS	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-SAN LUIS POR SAN MIGUEL	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN LUIS POR SAN MIGUEL (MINIMA)	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-SAN LUIS-LAS JUNTAS POR PISTA	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN LUIS-LAS JUNTAS (MINIMA)	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-BARRIO SOCORRO POR PISTA	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-SANTO DOMINGO-SANTA ROSA-MEGASUPER	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-SANTO DOMINGO-SAN MARTIN	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-SANTO DOMINGO-LA VIGUI	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-SANTO DOMINGO-SANTO TOMAS	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SAN JOSE-SANTO DOMINGO-BARRIO LOURDES-QUEBRADAS	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SANTO DOMINGO-BARRIO LOURDES-QUEBRADAS	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SECTOR SUR-SENTIDO SUR NORTE (MEGASUPER) PERIFERICA	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SECTOR SUR-SENTIDO NORTE SUR (ENTRA A LA VIGUI) PERIFERICA	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SECTOR NORTE-SENTIDO SUR NORTE (MEGASUPER) PERIFERICA	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
20	SECTOR NORTE-SENTIDO NORTE SUR (ENTRA A LA VIGUI) PERIFERICA	COOPERATIVA DE AUTOBUSEROS NACIONALES ASOCIADOS, RESPONSABILIDAD LIMITADA (COOPANA, R.L.)	(RA-024)
25	SAN JOSE-CALLE BLANCOS-SAN ANTONIO	TRANSVI S.A.	(RA-085)
30-31-32-33-34-35	SAN JOSE-GUADALUPE-EL ALTO	GUADALUPE, LIMITADA	(RA-090)
30-31-32-33-34-35	SAN JOSE-GUADALUPE-EL ALTO-HELICONIAS	GUADALUPE, LIMITADA	(RA-090)
30-31-32-33-34-35	SAN JOSE-GUADALUPE-Bº EL CARMEN	GUADALUPE, LIMITADA	(RA-090)
30-31-32-33-34-35	SAN JOSE-GUADALUPE-Bº EL PILAR	GUADALUPE, LIMITADA	(RA-090)
30-31-32-33-34-35	SAN JOSE-GUADALUPE-SAN ANTONIO	GUADALUPE, LIMITADA	(RA-090)
30-31-32-33-34-35	SAN JOSE-GUADALUPE-PURRAL-LOS CUADROS	GUADALUPE, LIMITADA	(RA-090)
30-31-32-33-34-35	SAN JOSE-GUADALUPE-PURRAL-KURU	GUADALUPE, LIMITADA	(RA-090)
30-31-32-33-34-35	SAN JOSE-GUADALUPE-MOZOTAL	GUADALUPE, LIMITADA	(RA-090)
40 MB	SAN JOSE-MORAVIA-JARDINES	COOPEMORAVIA R.L.	(RA-148)
40 MB	SAN JOSE-MORAVIA-SAN RAFAEL	COOPEMORAVIA R.L.	(RA-148)
40 MB	SAN JOSE-SAN ANTONIO DE CORONADO	COOPEMORAVIA R.L.	(RA-148)
40 MB	SAN JOSE-PURRAL-LA CHANITA	COOPEMORAVIA R.L.	(RA-148)
40 MB	SAN JOSE-Bº EL PILAR-LA ALONDRA	COOPEMORAVIA R.L.	(RA-148)
40-41-42	SAN JOSE-MORAVIA-SAN BLAS-SAN RAFAEL	AUTOTRANSPORTES MORAVIA, S.A.	(RA-002)
40-41-42	SAN JOSE-MORAVIA-LA ISLA	AUTOTRANSPORTES MORAVIA, S.A.	(RA-002)
40-41-42	SAN JOSE-MORAVIA-LOS SITIOS	AUTOTRANSPORTES MORAVIA, S.A.	(RA-002)
40-41-42	SAN JOSE-SAN ANTONIO DE CORONADO-ROMILIOS	AUTOTRANSPORTES MORAVIA, S.A.	(RA-002)
40-41-42	SAN JOSE-DULCE NOMBRE DE CORONADO	AUTOTRANSPORTES MORAVIA, S.A.	(RA-002)
43	SAN JOSE-MORAVIA-PARACITO	TRANSPORTES PARACITO S.A.	(RA-084)
43	SAN JOSE-MORAVIA-LA TRINIDAD	TRANSPORTES PARACITO S.A.	(RA-084)
43	SAN JOSE-MORAVIA-SAN JERONIMO	TRANSPORTES PARACITO S.A.	(RA-084)
43	SAN JOSE-MORAVIA-PLATANARES	TRANSPORTES PARACITO S.A.	(RA-084)
44-45-47	SAN JOSE-IPIS-FACIO-LA MORA-ZETILLAL	CORPORACION AUTOTRANSPORTES DEL ESTE S.A.	(RA-054)
44-45-47	SAN JOSE-VISTA DE MAR	CORPORACION AUTOTRANSPORTES DEL ESTE S.A.	(RA-054)
44-45-47	SAN JOSE-RANCHO REDONDO	CORPORACION AUTOTRANSPORTES DEL ESTE S.A.	(RA-054)
50	SAN JOSE-SAN PEDRO-LOURDES-SANTA MARTA	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-SAN PEDRO-LOURDES-SANTA MARTA-GUAYABOS	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-SAN PEDRO-SAN RAFAEL-SALITRILLOS	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-SAN PEDRO-SAN RAFAEL-SALITRILLOS-KARPINSKY	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-SAN PEDRO-CEDROS	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-SAN PEDRO-CEDRAL-URBANIZACION EUROPA	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-SAN PEDRO-CALLE SILES	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-SAN PEDRO-GRANADILLA	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-CIPRESES	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-SAN RAMON DE TRES RIOS-VILLA HERMOSA	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-URBANIZACION LAS MANSIONES-CLUB CAMPESTRE-LA CAMPIÑA	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-SABANILLA	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-SAN PEDRO-CURRIDABAT	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
65	SAN JOSE-Bº CORDOBA-Bº QUESADA DURAN	AUTOTRANSPORTES ZAPOTE S.A.	(RA-004)
65	SAN JOSE-CURRIDABAT POR ZAPOTE	AUTOTRANSPORTES ZAPOTE S.A.	(RA-004)
65	SAN JOSE-ZAPOTE POR ITAN	AUTOTRANSPORTES ZAPOTE S.A.	(RA-004)
65	SAN JOSE-ZAPOTE-CURRIDABAT POR LA PISTA	AUTOTRANSPORTES ZAPOTE S.A.	(RA-004)
50	SAN JOSE-SAN PEDRO-LOURDES-SANTA MARTA	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-LOURDES-SANTA MARTA-GUAYABOS	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-MONTERREY-CEDROS	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-LOURDES-CEDRAL	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-SAN PEDRO-CALLE SILES	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-CIPRESES DE CURRIDABAT	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-SAN RAFAEL-SALITRILLOS	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
50	SAN JOSE-GRANADILLA DE CURRIDABAT	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
60	SAN JOSE-CURRIDABAT x SAN PEDRO	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
60 BS	SAN JOSE-CURRIDABAT x SAN PEDRO	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
63	SAN JOSE-Bº CORDOBA-Bº QUESADA DURAN	AUTOTRANSPORTES ZAPOTE S.A.	(RA-004)
65 BS	SAN JOSE-CURRIDABAT x ZAPOTE	AUTOTRANSPORTES ZAPOTE S.A.	(RA-004)
56	SAN JOSE-SAN RAMON DE LA UNION	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
56	SAN JOSE-SAN RAMON   EXT LA CAMPIÑA-LAS MANSIONES	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
62	SAN JOSE-SABANILLA	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
62 BS	SAN JOSE-SABANILLA	AUTOTRANSPORTES CESMAG S.A.	(RA-003)
65	SAN JOSE-ZAPOTE x ITAN	AUTOTRANSPORTES ZAPOTE S.A.	(RA-004)
65	SAN JOSE-ZAPOTE-CURRIDABAT x LA PISTA	AUTOTRANSPORTES ZAPOTE S.A.	(RA-004)
51-53	SAN JOSE-VARGAS ARAYA-MONTERREY	RUTA 51-53 S.A.	(RA-092)
51-53	SAN JOSE-URBANIZACION CARMIOL	RUTA 51-53 S.A.	(RA-092)
51-53	SAN JOSE-LOTES PINTO	RUTA 51-53 S.A.	(RA-092)
58	SAN JOSE-SAN FRANCISCO	CENBUS S.A.	(RA-038)
58	SAN JOSE-CONCEPCION DE LA UNION	CENBUS S.A.	(RA-038)
58	SAN JOSE-GUAYABO	CENBUS S.A.	(RA-038)
58	SAN JOSE-CRUCE A CONCEPCION	CENBUS S.A.	(RA-038)
72-64-61 A	SAN JOSE-TIRRASES x SAN FRANCISCO	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72-64-61 A	SAN JOSE-SAN FRANCISCO DE DOS RIOS-LA COLINA	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72-64-61 A	SAN JOSE-SAN FRANCISCO DE DOS RIOS-Bº SAN JOSE	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72-64-61 A	SAN JOSE-SAN ANTONIO-PATARRA-GUATUSO	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72-64-61 A	SAN JOSE-SAN ANTONIO-SAN LORENZO	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72-64-61 A	SAN JOSE-LINDA VISTA x SAN FRANCISCO	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72-64-61 A	SAN JOSE-LINDA VISTA x DESAMPARADOS	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72-64-61 A	SAN JOSE-SAN ANTONIO-Bº FATIMA	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72-64-61 A	SAN JOSE-SAN ANTONIO-RIO AZUL-QUEBRADAS	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
61 A	SAN JOSE-TIRRASES x SAN FRANCISCO	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
61	SAN JOSE-SAN FRANCISCO DE DOS RIOS-LA COLINA	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
64 A	SAN JOSE-SAN FRANCISCO DE DOS RIOS-Bº SAN JOSE	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72	SAN JOSE-SAN ANTONIO-PATARRA-GUATUSO	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72 D	SAN JOSE-SAN ANTONIO-SAN LORENZO	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72 B	SAN JOSE-LINDA VISTA x SAN FRANCISCO	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72 C	SAN JOSE-LINDA VISTA x DESAMPARADOS	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72 A	SAN JOSE-SAN ANTONIO-Bº FATIMA	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
72 E	SAN JOSE-SAN ANTONIO-RIO AZUL-QUEBRADAS	AUTOTRANSPORTES SAN ANTONIO S.A.	(RA-095)
66 BS	SAN JOSE-EL BOSQUE-LA PACIFICA	TRANSBOSQUE LA PACIFICA S.A.	(RA-097)
70-71-73-119	SAN JOSE-DESAMPARADOS-SAN RAFAEL	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
70-71-73-119	SAN JOSE-DESAMPARADOS-MONTE CLARO	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
70-71-73-119	SAN JOSE-DESAMPARADOS-LOMA LINDA	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
70-71-73-119	SAN JOSE-DESAMPARADOS-VILLA NUEVA	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
70-71-73-119	SAN JOSE-DESAMPARADOS-PORVENIR	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
70-71-73-119	SAN JOSE-DESAMPARADOS-DOS CERCAS	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
70-71-73-119	SAN JOSE-DESAMPARADOS-PORVENIR-DOS CERCAS	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
70-71-73-119	SAN JOSE-DESAMPARADOS-CALLE FALLAS	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
70-71-73-119	SAN JOSE-DESAMPARADOS-LA CAPRI	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
121	SAN JOSE-ASERRI-Bº MARIA AUXILIADORA	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
121	SAN JOSE-ASERRI-Bº MERCEDES	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
121	SAN JOSE-ASERRI-Bº LOURDES	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
121	SAN JOSE-ASERRI-Bº CORAZON DE JESUS	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
121	SAN JOSE-ASERRI-SALITRILLOS	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
121	SAN JOSE-ASERRI-SANTA TERESITA	AUTOTRANSPORTES DESAMPARADOS, S.A.	(RA-098)
75	SAN JOSE-PASO ANCHO-SANTA ROSA	CORPORACION NACIONAL DE TRANSPORTES S.A. (CONATRA, S.A.)	(RA-017)
75A	SAN JOSE-PASO ANCHO-LOMA LINDA	CORPORACION NACIONAL DE TRANSPORTES S.A. (CONATRA, S.A.)	(RA-017)
75B	SAN JOSE-PASO ANCHO-MONTE AZUL-SEMINARIO	CORPORACION NACIONAL DE TRANSPORTES S.A. (CONATRA, S.A.)	(RA-017)
